Index,CastNr,Datum,Uhrzeit [UTC],Uhrzeit [MEZ],Station,Lat DecDeg,LonDecDeg,Tidenzeitenphase (neu),closest gauge,tide_quality
0,1,03.05.2022,07:50:00,08:50:00,Mooring1,54.1817,8.608,flood_start,blauort,2
1,2,03.05.2022,10:06:00,11:06:00,Mooring2,54.1,8.6465,flood_max,trischenWest,2
2,3,03.05.2022,11:39:00,12:39:00,Mooring3,54.0047,8.6712,flood_end,mittelplate,3
3,5,04.05.2022,05:24:00,06:24:00,BE,54.1258,8.8302,ebb_max,buesumSchleuse,2
4,6,04.05.2022,05:41:00,06:41:00,BM,54.1287,8.7955,ebb_max,buesumSchleuse,2
5,7,04.05.2022,05:59:00,06:59:00,BW1,54.1317,8.7538,ebb_end,blauort,3
6,8,04.05.2022,06:10:00,07:10:00,BW2,54.1305,8.7457,ebb_end,blauort,3
7,9,04.05.2022,06:55:00,07:55:00,KFN,54.1048,8.5978,ebb_end,trischenWest,3
8,10,04.05.2022,07:06:00,08:06:00,KFN2,54.1027,8.5963,ebb_end,trischenWest,3
9,11,04.05.2022,07:45:00,08:45:00,SW1,54.0982,8.4903,LT,trischenWest,5
10,12,04.05.2022,08:04:00,09:04:00,SW2,54.0803,8.4943,LT,trischenWest,5
11,13,04.05.2022,08:36:00,09:36:00,SW3,54.0403,8.4992,flood_start,trischenWest,5
12,14,04.05.2022,08:46:00,09:46:00,SW3,54.0418,8.5062,flood_start,trischenWest,5
13,15,04.05.2022,09:33:00,10:33:00,NM,54.0212,8.568,flood_start,trischenWest,4
14,16,04.05.2022,10:19:00,11:19:00,NE2,54.0047,8.657,flood_start,mittelplate,3
15,17,04.05.2022,11:03:00,12:03:00,NFW,54.023,8.6358,flood_end,trischenWest,3
16,18,04.05.2022,12:16:00,13:16:00,KFN,54.1018,8.5982,flood_end,trischenWest,3
17,19,04.05.2022,13:10:00,14:10:00,BW2,54.131,8.7517,HT,blauort,3
18,20,04.05.2022,13:28:00,14:28:00,BW,54.1307,8.7868,HT,buesumSchleuse,3
19,21,04.05.2022,13:48:00,14:48:00,BE,54.1248,8.837,HT,buesumSchleuse,1
20,22,05.05.2022,07:29:00,08:29:00,BE,54.1245,8.8388,ebb_end,buesumSchleuse,1
21,23,05.05.2022,07:54:00,08:54:00,BM,54.1297,8.7853,ebb_end,buesumSchleuse,3
22,24,05.05.2022,08:21:00,09:21:00,BW2,54.1305,8.7465,LT,blauort,3
23,25,05.05.2022,08:42:00,09:42:00,NP1,54.147,8.72,flood_start,blauort,2
24,26,05.05.2022,08:59:00,09:59:00,NP2,54.155,8.7012,flood_start,blauort,2
25,27,05.05.2022,09:16:00,10:16:00,NP3,54.1658,8.6728,flood_start,blauort,1
26,28,05.05.2022,09:40:00,10:40:00,NP4,54.1737,8.6432,flood_start,blauort,1
27,29,05.05.2022,09:58:00,10:58:00,NP5,54.1797,8.6152,flood_start,blauort,2
28,30,05.05.2022,10:50:00,11:50:00,Schnitt5_1,54.1993,8.5722,flood_max,blauort,3
29,31,05.05.2022,11:15:00,12:15:00,Schnitt5_3,54.1642,8.5572,flood_max,blauort,3
30,32,05.05.2022,11:30:00,12:30:00,Schnitt5_2,54.1822,8.5653,flood_end,blauort,3
31,33,05.05.2022,11:49:00,12:49:00,NP5,54.1792,8.6098,flood_end,blauort,2
32,34,05.05.2022,12:11:00,13:11:00,NP3,54.1662,8.6707,flood_end,blauort,1
33,35,05.05.2022,12:36:00,13:36:00,NP1,54.1468,8.7182,flood_end,blauort,2
34,36,05.05.2022,13:00:00,14:00:00,BW2,54.1325,8.7502,flood_end,blauort,3
35,37,05.05.2022,13:18:00,14:18:00,BM,54.1305,8.7847,flood_end,buesumSchleuse,3
36,38,05.05.2022,13:38:00,14:38:00,BE,54.1258,8.8362,flood_end,buesumSchleuse,1
37,39,06.05.2022,07:30:00,08:30:00,BE,54.1251,8.8381,ebb_end,buesumSchleuse,1
38,40,06.05.2022,07:51:00,08:51:00,BM,54.1302,8.7932,ebb_end,buesumSchleuse,3
39,41,06.05.2022,08:19:00,09:19:00,BW2,54.1302,8.7486,LT,blauort,3
40,43,06.05.2022,09:01:00,10:01:00,TS,54.1271,8.7024,flood_start,blauort,2
41,44,06.05.2022,09:48:00,10:48:00,KFN,54.1033,8.6043,flood_start,trischenWest,3
42,45,06.05.2022,10:25:00,11:25:00,MP1,54.0791,8.6961,flood_start,trischenWest,1
43,46,06.05.2022,10:40:00,11:40:00,MP2,54.0675,8.7023,flood_start,trischenWest,1
44,47,06.05.2022,10:53:00,11:53:00,MP3,54.0587,8.714,flood_start,trischenWest,2
45,48,06.05.2022,11:04:00,12:04:00,MP4,54.0546,8.7282,flood_start,mittelplate,2
46,49,06.05.2022,11:28:00,12:28:00,DB,54.0496,8.7332,flood_max,mittelplate,1
47,50,06.05.2022,11:41:00,12:41:00,MP4,54.0543,8.7291,flood_max,mittelplate,2
48,51,06.05.2022,11:58:00,12:58:00,MP3,54.0588,8.7128,flood_end,trischenWest,2
49,52,06.05.2022,12:13:00,13:13:00,MP2,54.067,8.7022,flood_end,trischenWest,1
50,53,06.05.2022,12:28:00,13:28:00,MP1,54.078,8.696,flood_end,trischenWest,1
51,54,06.05.2022,13:09:00,14:09:00,TS,54.1272,8.7022,flood_end,blauort,2
52,55,06.05.2022,13:37:00,14:37:00,BW2,54.1318,8.7513,flood_end,blauort,3
53,56,06.05.2022,13:55:00,14:55:00,BM,54.1307,8.787,flood_end,buesumSchleuse,3
54,57,06.05.2022,14:15:00,15:15:00,BE,54.125,8.8371,flood_end,buesumSchleuse,1
55,58,07.05.2022,06:22:00,07:22:00,BE,54.1252,8.8377,ebb_end,buesumSchleuse,1
56,59,07.05.2022,06:41:00,07:41:00,BM,54.1287,8.7873,ebb_end,buesumSchleuse,3
57,60,07.05.2022,07:06:00,08:06:00,BW2,54.1301,8.7483,ebb_end,blauort,3
58,61,07.05.2022,07:42:00,08:42:00,TS,54.1252,8.7032,ebb_end,blauort,3
59,62,07.05.2022,08:24:00,09:24:00,MP2,54.067,8.7023,ebb_end,trischenWest,1
60,63,07.05.2022,08:39:00,09:39:00,MP3,54.0585,8.7137,LT,trischenWest,2
61,64,07.05.2022,09:12:00,10:12:00,MP4,54.0543,8.7283,LT,mittelplate,2
62,65,07.05.2022,09:36:00,10:36:00,MP4,54.0543,8.7283,LT,mittelplate,2
63,66,07.05.2022,10:33:00,11:33:00,DB,54.0487,8.7308,flood_start,mittelplate,1
64,67,07.05.2022,10:51:00,11:51:00,MP3,54.0585,8.714,flood_start,trischenWest,2
65,68,07.05.2022,11:07:00,12:07:00,MP2,54.0668,8.702,flood_start,trischenWest,1
66,69,07.05.2022,11:18:00,12:18:00,MP1,54.0769,8.6978,flood_start,trischenWest,1
67,70,07.05.2022,12:20:00,13:20:00,TS,54.1268,8.7042,flood_max,blauort,3
68,71,07.05.2022,12:44:00,13:44:00,BW2,54.1304,8.7535,flood_max,blauort,3
69,72,07.05.2022,13:03:00,14:03:00,BM,54.1306,8.7876,flood_end,buesumSchleuse,3
70,73,07.05.2022,13:19:00,14:19:00,BE,54.124,8.8369,flood_end,buesumSchleuse,1
71,75,08.05.2022,07:20:00,08:20:00,BE,54.1247,8.8372,ebb_end,buesumSchleuse,1
72,76,08.05.2022,07:43:00,08:43:00,BM,54.1303,8.79,ebb_end,buesumSchleuse,3
73,77,08.05.2022,08:09:00,09:09:00,BW2,54.1298,8.7488,ebb_end,blauort,3
74,78,08.05.2022,08:42:00,09:42:00,TS,54.125,8.7025,ebb_end,blauort,3
75,79,08.05.2022,09:23:00,10:23:00,NP2,54.1542,8.7027,LT,blauort,2
76,80,08.05.2022,09:41:00,10:41:00,NP3,54.1648,8.6758,LT,blauort,1
77,81,08.05.2022,10:02:00,11:02:00,NP4.5,54.1755,8.6303,flood_start,blauort,2
78,82,08.05.2022,10:35:00,11:35:00,Schnitt5_1,54.1997,8.5615,flood_start,blauort,4
79,83,08.05.2022,11:02:00,12:02:00,Schnitt5_3,54.1635,8.5608,flood_start,blauort,3
80,84,08.05.2022,11:16:00,12:16:00,Schnitt5_2,54.1817,8.565,flood_start,blauort,3
81,85,08.05.2022,11:35:00,12:35:00,NP5,54.1798,8.6078,flood_start,blauort,2
82,86,08.05.2022,11:55:00,12:55:00,NP4,54.174,8.6422,flood_max,blauort,1
83,87,08.05.2022,12:11:00,13:11:00,NP3,54.1658,8.6735,flood_max,blauort,1
84,88,08.05.2022,12:26:00,13:26:00,NP2,54.1547,8.7003,flood_max,blauort,2
85,89,08.05.2022,12:55:00,13:55:00,BW2,54.13,8.7512,flood_max,blauort,3
86,90,08.05.2022,13:10:00,14:10:00,BM,54.1303,8.7845,flood_max,buesumSchleuse,3
87,91,08.05.2022,13:26:00,14:26:00,BE,54.1252,8.8318,flood_max,buesumSchleuse,1
88,92,09.05.2022,06:43:00,07:43:00,BW2,54.1308,8.7494,ebb_start,blauort,3
89,93,09.05.2022,07:13:00,08:13:00,TS,54.1242,8.6973,ebb_max,blauort,3
90,94,09.05.2022,07:52:00,08:52:00,KFN,54.103,8.5972,ebb_max,trischenWest,3
91,95,09.05.2022,08:54:00,09:54:00,NFW,54.0247,8.6355,ebb_end,trischenWest,3
92,96,09.05.2022,09:25:00,10:25:00,NE2,54.0048,8.6642,ebb_end,mittelplate,3
93,97,09.05.2022,10:08:00,11:08:00,NM,54.0241,8.558,LT,trischenWest,4
94,98,09.05.2022,10:43:00,11:43:00,SW3,54.042,8.4963,LT,trischenWest,5
95,99,09.05.2022,11:10:00,12:10:00,SW2,54.0809,8.4883,flood_start,trischenWest,5
96,100,09.05.2022,11:31:00,12:31:00,SW1,54.0989,8.4946,flood_start,trischenWest,5
97,101,09.05.2022,12:17:00,13:17:00,KFN,54.1024,8.5973,flood_start,trischenWest,3
98,102,09.05.2022,13:03:00,14:03:00,TS,54.1263,8.7056,flood_max,blauort,3
99,103,09.05.2022,13:17:00,14:17:00,BW2,54.1333,8.7525,flood_max,blauort,3
100,104,09.05.2022,13:45:00,14:45:00,BM,54.1306,8.7858,flood_max,buesumSchleuse,3
101,106,09.05.2022,14:08:00,15:08:00,BE,54.1236,8.8402,flood_max,buesumSchleuse,1
102,107,10.05.2022,08:12:00,09:12:00,BE,54.125,8.8367,ebb_start,buesumSchleuse,1
103,108,10.05.2022,08:34:00,09:34:00,BM,54.1301,8.7854,ebb_max,buesumSchleuse,3
104,109,10.05.2022,09:00:00,10:00:00,BW2,54.1302,8.7468,ebb_end,blauort,3
105,110,10.05.2022,09:19:00,10:19:00,TS,54.1298,8.7047,ebb_end,blauort,2
106,111,10.05.2022,10:28:00,11:28:00,MP2,54.0693,8.7015,ebb_end,trischenWest,1
107,112,10.05.2022,10:45:00,11:45:00,MP3,54.0582,8.7138,ebb_end,trischenWest,2
108,113,10.05.2022,11:09:00,12:09:00,DB,54.049,8.7335,ebb_end,mittelplate,1
109,114,10.05.2022,12:13:00,13:13:00,MP4,54.0548,8.7278,flood_start,mittelplate,2
110,115,10.05.2022,13:15:00,14:15:00,MP3,54.0585,8.714,flood_start,trischenWest,2
